,Player,Runs,Mins,BF,4s,6s,SR,Inns,Opposition,Ground,Start Date,Team Name,Not Out
20332,P Kumar,13.0,-1,7,0,1,185.71,1,v Kings XI,Durban,2009-04-24,Royal Challengers Bangalore,0.0
20336,P Kumar,9.0,-1,7,1,0,128.57,1,v Kings XI,Durban,2009-05-01,Royal Challengers Bangalore,1.0
20340,P Kumar,7.0,-1,4,0,1,175.00,1,v RR,Centurion,2009-05-07,Royal Challengers Bangalore,0.0
20342,P Kumar,12.0,-1,6,0,1,200.00,2,v CSK,Durban,2009-05-14,Royal Challengers Bangalore,1.0
20350,P Kumar,2.0,-1,3,0,0,66.66,2,v Chargers,Johannesburg,2009-05-24,Royal Challengers Bangalore,0.0
20352,P Kumar,3.0,-1,5,0,0,60.00,1,v KKR,Eden Gardens,2010-03-14,Royal Challengers Bangalore,1.0
20362,P Kumar,0.0,0,1,0,0,0.00,2,v Daredevils,Bengaluru,2010-03-25,Royal Challengers Bangalore,0.0
20372,P Kumar,1.0,0,2,0,0,50.00,2,v MI,DY Patil,2010-04-21,Royal Challengers Bangalore,0.0
20376,P Kumar,3.0,0,5,0,0,60.00,1,v Warriors,DY Patil,2011-04-10,Kings XI Punjab,0.0
20386,P Kumar,2.0,0,2,0,0,100.00,1,v KKR,Eden Gardens,2011-04-30,Kings XI Punjab,1.0
20388,P Kumar,2.0,0,3,0,0,66.66,2,v MI,Wankhede,2011-05-02,Kings XI Punjab,1.0
20390,P Kumar,15.0,0,7,2,1,214.28,2,v RCB,Bengaluru,2011-05-06,Kings XI Punjab,1.0
20392,P Kumar,3.0,-1,5,0,0,60.00,1,v Warriors,Mohali,2011-05-08,Kings XI Punjab,1.0
20394,P Kumar,2.0,-1,2,0,0,100.00,1,v MI,Mohali,2011-05-10,Kings XI Punjab,0.0
20400,P Kumar,0.0,-1,7,0,0,0.00,2,v Chargers,Dharamsala,2011-05-21,Kings XI Punjab,0.0
20402,P Kumar,10.0,6,6,0,1,166.66,2,v RR,Jaipur,2012-04-06,Kings XI Punjab,0.0
20404,P Kumar,1.0,4,2,0,0,50.00,2,v Warriors,Pune,2012-04-08,Kings XI Punjab,1.0
20408,P Kumar,0.0,1,1,0,0,0.00,1,v KKR,Eden Gardens,2012-04-15,Kings XI Punjab,0.0
20418,P Kumar,6.0,7,6,0,0,100.00,1,v CSK,Chennai,2012-04-28,Kings XI Punjab,1.0
20422,P Kumar,7.0,8,8,1,0,87.50,2,v RR,Mohali,2012-05-05,Kings XI Punjab,1.0
20428,P Kumar,8.0,4,5,1,0,160.00,1,v Daredevils,Delhi,2012-05-15,Kings XI Punjab,0.0
20432,P Kumar,3.0,3,2,0,0,150.00,1,v Daredevils,Dharamsala,2012-05-19,Kings XI Punjab,1.0
20436,P Kumar,3.0,9,5,0,0,60.00,1,v CSK,Mohali,2013-04-10,Kings XI Punjab,0.0
20438,P Kumar,15.0,5,7,2,1,214.28,1,v RR,Jaipur,2013-04-14,Kings XI Punjab,0.0
20440,P Kumar,1.0,2,2,0,0,50.00,1,v KKR,Mohali,2013-04-16,Kings XI Punjab,0.0
20442,P Kumar,3.0,6,6,0,0,50.00,1,v SRH,Hyderabad,2013-04-19,Kings XI Punjab,1.0
20450,P Kumar,24.0,20,15,1,2,160.00,2,v MI,Wankhede,2013-04-29,Kings XI Punjab,0.0
20458,P Kumar,1.0,3,3,0,0,33.33,2,v SRH,Mohali,2013-05-11,Kings XI Punjab,0.0
20462,P Kumar,0.0,1,1,0,0,0.00,1,v MI,Dharamsala,2013-05-18,Kings XI Punjab,0.0
20468,P Kumar,1.0,0,2,0,0,50.00,1,v CSK,Brabourne,2014-05-28,Mumbai Indians,0.0
20474,P Kumar,1.0,4,1,0,0,100.00,2,v Daredevils,Visakhapatnam,2015-04-18,Sunrisers Hyderabad,1.0
20478,P Kumar,0.0,0,2,0,0,0.00,2,v MI,Wankhede,2015-04-25,Sunrisers Hyderabad,0.0
20484,P Kumar,12.0,0,16,1,0,75.00,2,v KKR,Eden Gardens,2015-05-04,Sunrisers Hyderabad,0.0
20492,P Kumar,4.0,19,6,0,0,66.66,1,v MI,Hyderabad,2015-05-17,Sunrisers Hyderabad,0.0
20498,P Kumar,0.0,1,2,0,0,0.00,2,v MI,Wankhede,2016-04-16,Gujarat Lions,0.0
20500,P Kumar,1.0,2,1,0,0,100.00,1,v SRH,Rajkot,2016-04-21,Gujarat Lions,1.0
20508,P Kumar,15.0,0,13,2,0,115.38,2,v Kings XI,Rajkot,2016-05-01,Gujarat Lions,0.0
20512,P Kumar,6.0,0,4,1,0,150.00,1,v SRH,Hyderabad,2016-05-06,Gujarat Lions,1.0
20516,P Kumar,1.0,2,4,0,0,25.00,2,v RCB,Bengaluru,2016-05-14,Gujarat Lions,0.0
20522,P Kumar,1.0,0,2,0,0,50.00,1,v RCB,Bengaluru,2016-05-24,Gujarat Lions,0.0
20528,P Kumar,7.0,0,7,0,0,100.00,1,v SRH,Hyderabad,2017-04-09,Gujarat Lions,1.0
20536,P Kumar,1.0,0,2,0,0,50.00,1,v SRH,Kanpur,2017-05-13,Gujarat Lions,0.0
26848,P Negi,8.0,13,8,1,0,100.00,2,v Warriors,Delhi,2012-04-21,Delhi Daredevils,0.0
26856,P Negi,6.0,11,4,1,0,150.00,2,v RCB,Delhi,2012-05-17,Delhi Daredevils,1.0
26860,P Negi,14.0,-1,11,2,0,127.27,2,v KKR,Pune,2012-05-22,Delhi Daredevils,0.0
26862,P Negi,8.0,-1,6,0,1,133.33,2,v CSK,Chennai,2012-05-25,Delhi Daredevils,1.0
26870,P Negi,27.0,-1,13,4,1,207.69,1,v KKR,Eden Gardens,2015-04-30,Chennai Super Kings,0.0
26872,P Negi,15.0,22,11,1,1,136.36,2,v SRH,Hyderabad,2015-05-02,Chennai Super Kings,0.0
26874,P Negi,13.0,15,7,1,1,185.71,1,v RCB,Chennai,2015-05-04,Chennai Super Kings,0.0
26876,P Negi,36.0,25,17,4,1,211.76,1,v MI,Chennai,2015-05-08,Chennai Super Kings,0.0
26878,P Negi,2.0,8,3,0,0,66.66,1,v RR,Chennai,2015-05-10,Chennai Super Kings,0.0
26880,P Negi,5.0,16,8,0,0,62.50,1,v Daredevils,Raipur,2015-05-12,Chennai Super Kings,1.0
26884,P Negi,3.0,4,3,0,0,100.00,2,v MI,Wankhede,2015-05-19,Chennai Super Kings,0.0
26886,P Negi,12.0,13,6,0,1,200.00,2,v RCB,Ranchi,2015-05-22,Chennai Super Kings,0.0
26888,P Negi,3.0,18,5,0,0,60.00,2,v MI,Eden Gardens,2015-05-24,Chennai Super Kings,0.0
26890,P Negi,11.0,21,19,0,1,57.89,1,v KKR,Eden Gardens,2016-04-10,Delhi Daredevils,0.0
26892,P Negi,8.0,3,2,0,1,400.00,2,v Kings XI,Delhi,2016-04-15,Delhi Daredevils,1.0
26896,P Negi,10.0,20,10,1,0,100.00,1,v MI,Delhi,2016-04-23,Delhi Daredevils,1.0
26898,P Negi,3.0,16,4,0,0,75.00,2,v Guj Lions,Delhi,2016-04-27,Delhi Daredevils,1.0
26900,P Negi,19.0,15,12,1,1,158.33,1,v Supergiants,Delhi,2016-05-05,Delhi Daredevils,1.0
26904,P Negi,6.0,14,12,0,0,50.00,1,v RCB,Raipur,2016-05-22,Delhi Daredevils,0.0
26906,P Negi,10.0,12,8,0,1,125.00,1,v Daredevils,Bengaluru,2017-04-08,Royal Challengers Bangalore,0.0
26910,P Negi,13.0,18,13,0,0,100.00,1,v MI,Bengaluru,2017-04-14,Royal Challengers Bangalore,1.0
26912,P Negi,10.0,9,7,0,1,142.85,2,v Supergiant,Bengaluru,2017-04-16,Royal Challengers Bangalore,0.0
26916,P Negi,2.0,6,3,0,0,66.66,2,v KKR,Eden Gardens,2017-04-23,Royal Challengers Bangalore,0.0
26918,P Negi,32.0,16,19,3,2,168.42,1,v Guj Lions,Bengaluru,2017-04-27,Royal Challengers Bangalore,0.0
26920,P Negi,3.0,11,7,0,0,42.85,2,v Supergiant,Pune,2017-04-29,Royal Challengers Bangalore,0.0
26922,P Negi,35.0,30,23,1,3,152.17,1,v MI,Wankhede,2017-05-01,Royal Challengers Bangalore,0.0
26924,P Negi,21.0,30,23,2,0,91.30,2,v Kings XI,Bengaluru,2017-05-05,Royal Challengers Bangalore,0.0
26926,P Negi,5.0,7,3,1,0,166.66,1,v KKR,Bengaluru,2017-05-07,Royal Challengers Bangalore,0.0
26928,P Negi,13.0,8,5,3,0,260.00,1,v Daredevils,Delhi,2017-05-14,Royal Challengers Bangalore,1.0
26930,P Negi,3.0,-1,4,0,0,75.00,2,v RR,Bengaluru,2018-04-15,Royal Challengers Bangalore,0.0
26932,P Negi,0.0,-1,1,0,0,0.00,1,v CSK,Bengaluru,2018-04-25,Royal Challengers Bangalore,0.0
26936,P Negi,0.0,5,1,0,0,0.00,1,v DC,Bengaluru,2019-04-07,Royal Challengers Bangalore,0.0
26940,P Negi,0.0,3,2,0,0,0.00,1,v MI,Wankhede,2019-04-15,Royal Challengers Bangalore,0.0
26944,P Negi,5.0,12,6,0,0,83.33,1,v CSK,Bengaluru,2019-04-21,Royal Challengers Bangalore,0.0
26946,P Negi,4.0,6,3,1,0,133.33,1,v RR,Bengaluru,2019-04-30,Royal Challengers Bangalore,0.0
30004,PA Patel,15.0,-1,10,3,0,150.00,1,v Kings XI,Mohali,2008-04-19,Chennai Super Kings,0.0
30006,PA Patel,14.0,14,11,3,0,127.27,1,v MI,Chennai,2008-04-23,Chennai Super Kings,0.0
30008,PA Patel,21.0,38,27,3,0,77.77,2,v KKR,Chennai,2008-04-26,Chennai Super Kings,0.0
30010,PA Patel,21.0,-1,17,2,1,123.52,1,v RCB,Bengaluru,2008-04-28,Chennai Super Kings,0.0
30012,PA Patel,21.0,-1,20,3,0,105.00,1,v Daredevils,Chennai,2008-05-02,Chennai Super Kings,0.0
30014,PA Patel,0.0,-1,1,0,0,0.00,1,v RR,Jaipur,2008-05-04,Chennai Super Kings,0.0
30016,PA Patel,4.0,-1,6,1,0,66.66,1,v Chargers,Chennai,2008-05-06,Chennai Super Kings,0.0
30018,PA Patel,19.0,-1,28,2,0,67.85,2,v KKR,Eden Gardens,2008-05-18,Chennai Super Kings,1.0
30020,PA Patel,24.0,-1,29,4,0,82.75,2,v RCB,Chennai,2008-05-21,Chennai Super Kings,0.0
30022,PA Patel,54.0,-1,40,5,2,135.00,2,v RR,Chennai,2008-05-24,Chennai Super Kings,0.0
30024,PA Patel,20.0,-1,27,3,0,74.07,2,v Chargers,Hyderabad,2008-05-27,Chennai Super Kings,0.0
30026,PA Patel,51.0,-1,48,8,0,106.25,2,v Kings XI,Wankhede,2008-05-31,Chennai Super Kings,1.0
30028,PA Patel,38.0,-1,33,5,0,115.15,1,v RR,DY Patil,2008-06-01,Chennai Super Kings,0.0
30030,PA Patel,0.0,-1,2,0,0,0.00,2,v MI,Cape Town,2009-04-18,Chennai Super Kings,0.0
30032,PA Patel,30.0,41,26,2,1,115.38,1,v RCB,Gqeberha,2009-04-20,Chennai Super Kings,0.0
30034,PA Patel,16.0,-1,15,2,0,106.66,2,v Daredevils,Durban,2009-04-23,Chennai Super Kings,0.0
30036,PA Patel,0.0,-1,2,0,0,0.00,1,v Chargers,Durban,2009-04-27,Chennai Super Kings,0.0
30038,PA Patel,3.0,-1,11,0,0,27.27,1,v RR,Centurion,2009-04-30,Chennai Super Kings,0.0
30040,PA Patel,0.0,-1,1,0,0,0.00,2,v MI,Gqeberha,2009-05-16,Chennai Super Kings,0.0
30042,PA Patel,25.0,-1,19,4,0,131.57,1,v KKR,Centurion,2009-05-18,Chennai Super Kings,0.0
30044,PA Patel,32.0,-1,23,4,1,139.13,1,v Kings XI,Durban,2009-05-20,Chennai Super Kings,0.0
30046,PA Patel,36.0,-1,27,7,0,133.33,1,v RCB,Johannesburg,2009-05-23,Chennai Super Kings,0.0
30048,PA Patel,6.0,-1,6,1,0,100.00,2,v Daredevils,Delhi,2010-03-19,Chennai Super Kings,0.0
30050,PA Patel,57.0,-1,58,4,2,98.27,2,v Kings XI,Chennai,2010-03-21,Chennai Super Kings,0.0
30052,PA Patel,1.0,-1,3,0,0,33.33,2,v RCB,Bengaluru,2010-03-23,Chennai Super Kings,0.0
30054,PA Patel,8.0,-1,12,1,0,66.66,1,v MI,Brabourne,2010-03-25,Chennai Super Kings,0.0
30056,PA Patel,1.0,-1,4,0,0,25.00,1,v RCB,Kochi,2011-04-09,Kochi Tuskers Kerala,1.0
30058,PA Patel,21.0,-1,19,4,0,110.52,1,v Warriors,DY Patil,2011-04-13,Kochi Tuskers Kerala,0.0
30062,PA Patel,34.0,-1,26,4,1,130.76,2,v CSK,Kochi,2011-04-18,Kochi Tuskers Kerala,0.0
30064,PA Patel,9.0,-1,11,1,0,81.81,1,v KKR,Eden Gardens,2011-04-20,Kochi Tuskers Kerala,0.0
30066,PA Patel,32.0,-1,34,2,0,94.11,1,v RR,Jaipur,2011-04-24,Kochi Tuskers Kerala,0.0
30068,PA Patel,0.0,-1,3,0,0,0.00,2,v Chargers,Kochi,2011-04-27,Kochi Tuskers Kerala,0.0
30070,PA Patel,1.0,-1,3,0,0,33.33,2,v Daredevils,Kochi,2011-04-30,Kochi Tuskers Kerala,0.0
30072,PA Patel,37.0,-1,31,5,0,119.35,2,v Daredevils,Delhi,2011-05-02,Kochi Tuskers Kerala,1.0
30074,PA Patel,21.0,-1,16,4,0,131.25,1,v KKR,Kochi,2011-05-05,Kochi Tuskers Kerala,0.0
30076,PA Patel,19.0,24,14,3,0,135.71,1,v RCB,Bengaluru,2011-05-08,Kochi Tuskers Kerala,0.0
30078,PA Patel,0.0,-1,1,0,0,0.00,1,v Kings XI,Indore,2011-05-13,Kochi Tuskers Kerala,0.0
30080,PA Patel,21.0,-1,14,2,1,150.00,2,v RR,Indore,2011-05-15,Kochi Tuskers Kerala,1.0
30082,PA Patel,6.0,-1,7,0,0,85.71,2,v CSK,Chennai,2011-05-18,Kochi Tuskers Kerala,0.0
30084,PA Patel,20.0,26,17,3,0,117.64,2,v CSK,Visakhapatnam,2012-04-07,Deccan Chargers,0.0
30086,PA Patel,1.0,6,5,0,0,20.00,1,v MI,Visakhapatnam,2012-04-09,Deccan Chargers,0.0
30088,PA Patel,45.0,42,27,5,1,166.66,1,v Daredevils,Delhi,2012-04-19,Deccan Chargers,0.0
30090,PA Patel,23.0,31,19,2,0,121.05,1,v KKR,Cuttack,2012-04-22,Deccan Chargers,0.0
30092,PA Patel,24.0,24,18,3,1,133.33,1,v Warriors,Pune,2012-04-26,Deccan Chargers,0.0
30094,PA Patel,19.0,24,18,1,1,105.55,1,v MI,Wankhede,2012-04-29,Deccan Chargers,0.0
30096,PA Patel,0.0,1,1,0,0,0.00,1,v Warriors,Cuttack,2012-05-01,Deccan Chargers,0.0
30098,PA Patel,1.0,6,5,0,0,20.00,2,v CSK,Chennai,2012-05-04,Deccan Chargers,0.0
30102,PA Patel,17.0,13,13,1,1,130.76,2,v Kings XI,Hyderabad,2012-05-08,Deccan Chargers,0.0
30106,PA Patel,18.0,22,16,2,0,112.50,1,v Kings XI,Mohali,2012-05-13,Deccan Chargers,0.0
30108,PA Patel,10.0,15,5,1,0,200.00,2,v RR,Hyderabad,2012-05-18,Deccan Chargers,1.0
30110,PA Patel,16.0,-1,21,1,0,76.19,1,v RCB,Hyderabad,2012-05-20,Deccan Chargers,0.0
30112,PA Patel,19.0,23,18,3,0,105.55,1,v Warriors,Hyderabad,2013-04-05,Sunrisers Hyderabad,0.0
30114,PA Patel,2.0,5,4,0,0,50.00,2,v RCB,Hyderabad,2013-04-07,Sunrisers Hyderabad,0.0
30116,PA Patel,20.0,37,19,2,0,105.26,1,v RCB,Bengaluru,2013-04-09,Sunrisers Hyderabad,0.0
30118,PA Patel,19.0,34,19,4,0,100.00,2,v Daredevils,Delhi,2013-04-12,Sunrisers Hyderabad,0.0
30120,PA Patel,27.0,35,31,2,1,87.09,2,v KKR,Eden Gardens,2013-04-14,Sunrisers Hyderabad,0.0
30122,PA Patel,12.0,13,9,2,0,133.33,1,v Warriors,Pune,2013-04-17,Sunrisers Hyderabad,0.0
30124,PA Patel,14.0,35,18,1,0,77.77,2,v Daredevils,Hyderabad,2013-05-04,Sunrisers Hyderabad,0.0
30126,PA Patel,44.0,45,30,6,1,146.66,2,v CSK,Hyderabad,2013-05-08,Sunrisers Hyderabad,0.0
30128,PA Patel,61.0,91,47,5,2,129.78,1,v Kings XI,Mohali,2013-05-11,Sunrisers Hyderabad,0.0
30130,PA Patel,26.0,18,14,5,0,185.71,1,v MI,Wankhede,2013-05-13,Sunrisers Hyderabad,0.0
30132,PA Patel,2.0,-1,6,0,0,33.33,1,v RR,Hyderabad,2013-05-17,Sunrisers Hyderabad,0.0
30134,PA Patel,47.0,53,37,7,0,127.02,2,v KKR,Hyderabad,2013-05-19,Sunrisers Hyderabad,0.0
30136,PA Patel,1.0,3,3,0,0,33.33,1,v RR,Delhi,2013-05-22,Sunrisers Hyderabad,0.0
30138,PA Patel,37.0,39,28,5,1,132.14,2,v Daredevils,Sharjah,2014-04-17,Royal Challengers Bangalore,0.0
30140,PA Patel,57.0,79,45,7,0,126.66,2,v MI,Dubai (DICS),2014-04-19,Royal Challengers Bangalore,1.0
30142,PA Patel,21.0,36,19,3,0,110.52,2,v KKR,Sharjah,2014-04-24,Royal Challengers Bangalore,0.0
30144,PA Patel,1.0,4,1,0,0,100.00,1,v RR,Abu Dhabi,2014-04-26,Royal Challengers Bangalore,0.0
30146,PA Patel,2.0,17,7,0,0,28.57,1,v Kings XI,Dubai (DICS),2014-04-28,Royal Challengers Bangalore,0.0
30148,PA Patel,3.0,7,5,0,0,60.00,2,v SRH,Bengaluru,2014-05-04,Royal Challengers Bangalore,0.0
30150,PA Patel,26.0,27,19,5,0,136.84,2,v MI,Wankhede,2014-05-06,Royal Challengers Bangalore,0.0
30152,PA Patel,13.0,29,14,3,0,92.85,2,v Kings XI,Bengaluru,2014-05-09,Royal Challengers Bangalore,0.0
30154,PA Patel,2.0,2,1,0,0,200.00,1,v RR,Bengaluru,2014-05-11,Royal Challengers Bangalore,1.0
30156,PA Patel,29.0,57,28,4,0,103.57,1,v Daredevils,Bengaluru,2014-05-13,Royal Challengers Bangalore,0.0
30158,PA Patel,10.0,12,14,2,0,71.42,2,v CSK,Ranchi,2014-05-18,Royal Challengers Bangalore,0.0
30160,PA Patel,4.0,3,4,1,0,100.00,1,v SRH,Hyderabad,2014-05-20,Royal Challengers Bangalore,0.0
30162,PA Patel,16.0,-1,11,2,0,145.45,1,v RR,Ahmedabad,2015-04-14,Mumbai Indians,0.0
30164,PA Patel,0.0,2,1,0,0,0.00,1,v CSK,Wankhede,2015-04-17,Mumbai Indians,0.0
30166,PA Patel,12.0,25,13,2,0,92.30,1,v RCB,Bengaluru,2015-04-19,Mumbai Indians,0.0
30168,PA Patel,28.0,30,19,4,1,147.36,2,v Daredevils,Delhi,2015-04-23,Mumbai Indians,0.0
30170,PA Patel,17.0,26,17,3,0,100.00,1,v SRH,Wankhede,2015-04-25,Mumbai Indians,0.0
30172,PA Patel,23.0,24,14,5,0,164.28,1,v RR,Wankhede,2015-05-01,Mumbai Indians,0.0
30174,PA Patel,59.0,50,36,5,3,163.88,1,v Kings XI,Mohali,2015-05-03,Mumbai Indians,0.0
30176,PA Patel,13.0,41,13,1,0,100.00,2,v Daredevils,Wankhede,2015-05-05,Mumbai Indians,0.0
30178,PA Patel,45.0,45,32,6,0,140.62,2,v CSK,Chennai,2015-05-08,Mumbai Indians,0.0
30180,PA Patel,19.0,19,11,3,0,172.72,2,v RCB,Wankhede,2015-05-10,Mumbai Indians,0.0
30182,PA Patel,21.0,17,14,3,0,150.00,1,v KKR,Wankhede,2015-05-14,Mumbai Indians,0.0
30184,PA Patel,51.0,66,37,9,0,137.83,2,v SRH,Hyderabad,2015-05-17,Mumbai Indians,1.0
30186,PA Patel,35.0,49,25,4,1,140.00,1,v CSK,Wankhede,2015-05-19,Mumbai Indians,0.0
30188,PA Patel,0.0,5,3,0,0,0.00,1,v CSK,Eden Gardens,2015-05-24,Mumbai Indians,0.0
30190,PA Patel,23.0,27,20,4,0,115.00,2,v KKR,Eden Gardens,2016-04-13,Mumbai Indians,0.0
30192,PA Patel,34.0,61,29,2,2,117.24,1,v Guj Lions,Wankhede,2016-04-16,Mumbai Indians,0.0
30194,PA Patel,10.0,19,12,2,0,83.33,1,v SRH,Hyderabad,2016-04-18,Mumbai Indians,0.0
30196,PA Patel,5.0,4,6,1,0,83.33,2,v RCB,Wankhede,2016-04-20,Mumbai Indians,0.0
30198,PA Patel,1.0,7,4,0,0,25.00,2,v Daredevils,Delhi,2016-04-23,Mumbai Indians,0.0
30200,PA Patel,81.0,96,58,10,2,139.65,1,v Kings XI,Mohali,2016-04-25,Mumbai Indians,0.0
30202,PA Patel,1.0,5,2,0,0,50.00,2,v KKR,Wankhede,2016-04-28,Mumbai Indians,0.0
30204,PA Patel,21.0,17,15,4,0,140.00,2,v Supergiants,Pune,2016-05-01,Mumbai Indians,0.0
30206,PA Patel,0.0,3,4,0,0,0.00,2,v SRH,Visakhapatnam,2016-05-08,Mumbai Indians,0.0
30208,PA Patel,1.0,5,2,0,0,50.00,2,v RCB,Bengaluru,2016-05-11,Mumbai Indians,0.0
30210,PA Patel,19.0,20,14,4,0,135.71,1,v Supergiant,Pune,2017-04-06,Mumbai Indians,0.0
30212,PA Patel,30.0,37,27,3,1,111.11,2,v KKR,Wankhede,2017-04-09,Mumbai Indians,0.0
30214,PA Patel,39.0,45,24,7,0,162.50,2,v SRH,Wankhede,2017-04-12,Mumbai Indians,0.0
30216,PA Patel,3.0,10,8,0,0,37.50,2,v RCB,Bengaluru,2017-04-14,Mumbai Indians,0.0
30218,PA Patel,0.0,1,2,0,0,0.00,2,v Guj Lions,Wankhede,2017-04-16,Mumbai Indians,0.0
30220,PA Patel,37.0,28,18,4,2,205.55,2,v Kings XI,Indore,2017-04-20,Mumbai Indians,0.0
30222,PA Patel,8.0,21,11,1,0,72.72,1,v Daredevils,Wankhede,2017-04-22,Mumbai Indians,0.0
30224,PA Patel,33.0,42,27,4,0,122.22,2,v Supergiant,Wankhede,2017-04-24,Mumbai Indians,0.0
30226,PA Patel,70.0,62,44,9,1,159.09,2,v Guj Lions,Rajkot,2017-04-29,Mumbai Indians,0.0
30228,PA Patel,0.0,1,1,0,0,0.00,2,v RCB,Wankhede,2017-05-01,Mumbai Indians,0.0
30230,PA Patel,25.0,43,22,3,0,113.63,1,v Daredevils,Delhi,2017-05-06,Mumbai Indians,0.0
30232,PA Patel,23.0,27,17,1,1,135.29,1,v SRH,Hyderabad,2017-05-08,Mumbai Indians,0.0
30234,PA Patel,38.0,44,23,7,0,165.21,2,v Kings XI,Wankhede,2017-05-11,Mumbai Indians,0.0
30236,PA Patel,52.0,78,40,3,3,130.00,2,v Supergiant,Wankhede,2017-05-16,Mumbai Indians,0.0
30238,PA Patel,14.0,13,9,3,0,155.55,2,v KKR,Bengaluru,2017-05-19,Mumbai Indians,0.0
30240,PA Patel,4.0,10,6,0,0,66.66,1,v Supergiant,Hyderabad,2017-05-21,Mumbai Indians,0.0
30242,PA Patel,53.0,-1,41,5,2,129.26,1,v CSK,Pune,2018-05-05,Royal Challengers Bangalore,0.0
30244,PA Patel,20.0,-1,13,4,0,153.84,2,v SRH,Hyderabad,2018-05-07,Royal Challengers Bangalore,0.0
30246,PA Patel,6.0,-1,8,1,0,75.00,2,v Daredevils,Delhi,2018-05-12,Royal Challengers Bangalore,0.0
30248,PA Patel,40.0,-1,22,7,0,181.81,2,v Kings XI,Indore,2018-05-14,Royal Challengers Bangalore,1.0
30250,PA Patel,1.0,-1,4,0,0,25.00,1,v SRH,Bengaluru,2018-05-17,Royal Challengers Bangalore,0.0
30252,PA Patel,33.0,-1,21,3,2,157.14,2,v RR,Jaipur,2018-05-19,Royal Challengers Bangalore,0.0
30254,PA Patel,29.0,-1,35,2,0,82.85,1,v CSK,Chennai,2019-03-23,Royal Challengers Bangalore,0.0
30256,PA Patel,31.0,-1,22,4,1,140.90,2,v MI,Bengaluru,2019-03-28,Royal Challengers Bangalore,0.0
30258,PA Patel,11.0,7,8,2,0,137.50,2,v SRH,Hyderabad,2019-03-31,Royal Challengers Bangalore,0.0
30260,PA Patel,67.0,78,41,9,1,163.41,1,v RR,Jaipur,2019-04-02,Royal Challengers Bangalore,0.0
30262,PA Patel,25.0,32,24,3,0,104.16,1,v KKR,Bengaluru,2019-04-05,Royal Challengers Bangalore,0.0
30264,PA Patel,9.0,13,9,1,0,100.00,1,v DC,Bengaluru,2019-04-07,Royal Challengers Bangalore,0.0
30266,PA Patel,19.0,15,9,4,0,211.11,2,v Kings XI,Mohali,2019-04-13,Royal Challengers Bangalore,0.0
30268,PA Patel,28.0,36,20,4,1,140.00,1,v MI,Wankhede,2019-04-15,Royal Challengers Bangalore,0.0
30270,PA Patel,11.0,16,11,2,0,100.00,1,v KKR,Eden Gardens,2019-04-19,Royal Challengers Bangalore,0.0
30272,PA Patel,53.0,78,37,2,4,143.24,1,v CSK,Bengaluru,2019-04-21,Royal Challengers Bangalore,0.0
30274,PA Patel,43.0,37,24,7,2,179.16,1,v Kings XI,Bengaluru,2019-04-24,Royal Challengers Bangalore,0.0
30276,PA Patel,39.0,31,20,7,1,195.00,2,v DC,Delhi,2019-04-28,Royal Challengers Bangalore,0.0
30278,PA Patel,8.0,7,5,1,0,160.00,1,v RR,Bengaluru,2019-04-30,Royal Challengers Bangalore,0.0
30280,PA Patel,0.0,3,3,0,0,0.00,2,v SRH,Bengaluru,2019-05-04,Royal Challengers Bangalore,0.0
45140,PC Valthaty,5.0,-1,7,1,0,71.42,1,v KKR,Cape Town,2009-04-23,Rajasthan Royals,0.0
45142,PC Valthaty,1.0,-1,5,0,0,20.00,2,v Daredevils,Centurion,2009-04-28,Rajasthan Royals,0.0
45144,PC Valthaty,6.0,-1,6,1,0,100.00,1,v Warriors,DY Patil,2011-04-10,Kings XI Punjab,0.0
45146,PC Valthaty,120.0,-1,63,19,2,190.47,2,v CSK,Mohali,2011-04-13,Kings XI Punjab,1.0
45148,PC Valthaty,75.0,-1,47,8,5,159.57,2,v Chargers,Hyderabad,2011-04-16,Kings XI Punjab,0.0
45150,PC Valthaty,46.0,-1,31,4,3,148.38,1,v RR,Mohali,2011-04-21,Kings XI Punjab,0.0
45152,PC Valthaty,14.0,-1,10,0,2,140.00,2,v Daredevils,Delhi,2011-04-23,Kings XI Punjab,0.0
45154,PC Valthaty,7.0,-1,8,1,0,87.50,1,v KKR,Eden Gardens,2011-04-30,Kings XI Punjab,0.0
45156,PC Valthaty,33.0,-1,38,1,2,86.84,2,v MI,Wankhede,2011-05-02,Kings XI Punjab,0.0
45158,PC Valthaty,21.0,22,16,4,0,131.25,2,v RCB,Bengaluru,2011-05-06,Kings XI Punjab,0.0
45160,PC Valthaty,23.0,-1,22,4,0,104.54,1,v Warriors,Mohali,2011-05-08,Kings XI Punjab,0.0
45162,PC Valthaty,14.0,-1,14,3,0,100.00,1,v MI,Mohali,2011-05-10,Kings XI Punjab,0.0
45164,PC Valthaty,17.0,-1,10,1,2,170.00,2,v Kochi,Indore,2011-05-13,Kings XI Punjab,0.0
45166,PC Valthaty,62.0,-1,50,6,3,124.00,1,v Daredevils,Dharamsala,2011-05-15,Kings XI Punjab,0.0
45168,PC Valthaty,20.0,-1,17,2,1,117.64,1,v RCB,Dharamsala,2011-05-17,Kings XI Punjab,0.0
45170,PC Valthaty,5.0,-1,6,1,0,83.33,2,v Chargers,Dharamsala,2011-05-21,Kings XI Punjab,0.0
